Sigla;Codigo;Município;1872;1890;1910;1920;1940;1950;1960;1970
AC;1200013;Acrelândia;;;;;;;;
AC;1200054;Assis Brasil;;;;;;;;
AC;1200104;Brasiléia;;;;;6.723;7.864;10.423;12.311
AC;1200138;Bujari;;;;;;;;
AC;1200179;Capixaba;;;;;;;;
AC;1200203;Cruzeiro do Sul;;;11.109;15.490;17.780;21.761;31.189;43.584
AC;1200252;Epitaciolândia;;;;;;;;
AC;1200302;Feijó;;;;;8.149;14.072;13.990;15.768
AC;1200328;Jordão;;;;;;;;
AC;1200336;Mâncio Lima;;;;;;;;
AC;1200344;Manoel Urbano;;;;;;;;
AC;1200351;Marechal Thaumaturgo;;;;;;;;
AC;1200385;Plácido de Castro;;;;;;;;
AC;1200393;Porto Walter;;;;;;;;
AC;1200401;Rio Branco;;;23.340;19.930;16.038;28.246;47.437;83.977
AC;1200427;Rodrigues Alves;;;;;;;;
AC;1200435;Santa Rosa do Purus;;;;;;;;
AC;1200450;Senador Guiomard;;;;;;;;
AC;1200500;Sena Madureira;;;16.487;21.141;12.501;18.085;22.483;22.470
AC;1200609;Tarauacá;;;12.343;20.421;9.984;14.670;20.074;23.862
AC;1200708;Xapuri;;;11.205;15.397;8.593;10.057;13.256;13.327
AC;1200807;Porto Acre;;;;;;;;
AL;2700102;Água Branca;;6.968;13.911;20.361;21.325;28.956;20.091;22.620
AL;2700201;Anadia;23.675;24.293;29.741;51.150;52.740;47.385;40.003;12.586
AL;2700300;Arapiraca;;;;;25.514;37.073;56.657;94.287
AL;2700409;Atalaia;24.582;28.420;47.819;64.035;35.630;33.329;33.717;40.075
AL;2700508;Barra de Santo Antônio;;;;;;;4.747;6.028
AL;2700607;Barra de São Miguel;;;;;;;;1.418
AL;2700706;Batalha;;;11.902;8.117;;10.309;7.518;9.015
AL;2700805;Belém;;;;;;;;5.761
AL;2700904;Belo Monte;;2.034;;;;;3.563;4.698
AL;2701001;Boca da Mata;;;;;;;9.191;15.362
AL;2701100;Branquinha;;;;;;;;9.983
AL;2701209;Cacimbinhas;;;;;;;8.055;9.305
AL;2701308;Cajueiro;;;;;;;6.599;11.910
AL;2701357;Campestre;;;;;;;;
AL;2701407;Campo Alegre;;;;;;;6.753;6.950
AL;2701506;Campo Grande;;;;;;;4.110;7.420
AL;2701605;Canapi;;;;;;;;13.824
AL;2701704;Capela;;16.409;26.266;28.758;31.037;27.254;20.417;19.601
AL;2701803;Carneiros;;;;;;;;5.012
AL;2701902;Chã Preta;;;;;;;;10.587
AL;2702009;Coité do Nóia;;;;;;;;7.047
AL;2702108;Colônia Leopoldina;;;18.520;24.945;16.056;16.538;17.950;12.701
AL;2702207;Coqueiro Seco;;;;;;;;2.857
AL;2702306;Coruripe;9.132;11.958;21.107;15.625;15.108;16.215;19.898;27.225
AL;2702355;Craíbas;;;;;;;;
AL;2702405;Delmiro Gouveia;;;;;;;11.077;14.680
AL;2702504;Dois Riachos;;;;;;;4.817;6.222
AL;2702553;Estrela de Alagoas;;;;;;;;
AL;2702603;Feira Grande;;;;;;;12.671;13.310
AL;2702702;Feliz Deserto;;;;;;;1.927;1.723
AL;2702801;Flexeiras;;;;;;;14.068;12.042
AL;2702900;Girau do Ponciano;;;;;;;11.116;18.347
AL;2703007;Ibateguara;;;;;;;9.842;11.567
